Namespace(filename='tmp.csv')
Sun Jul  1 08:43:17 2018    tmp.csv

         318233 function calls (315963 primitive calls) in 6.239 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      346    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:94(acquire)
        1    0.000    0.000    0.005    0.005 session_manager.py:117(__init__)
        1    0.000    0.000    0.004    0.004 bz2.py:5(<module>)
        1    0.000    0.000    0.004    0.004 ntpath.py:6(<module>)
      162    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:321(__exit__)
        1    0.000    0.000    0.004    0.004 utils.py:1(<module>)
        1    0.000    0.000    0.004    0.004 result.py:1(<module>)
      346    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:119(release)
     1430    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.004    0.004 ElementPath.py:59(<module>)
        1    0.000    0.000    0.004    0.004 loader.py:1(<module>)
        1    0.000    0.000    0.004    0.004 difflib.py:27(<module>)
      168    0.001    0.000    0.004    0.000 fromnumeric.py:504(transpose)
     2051    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
    11/10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:737(create_module)
       43    0.000    0.000    0.003    0.000 core.py:113(get_object_signature)
      151    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:521(spec_from_file_location)
      173    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:170(__exit__)
      577    0.001    0.000    0.003    0.000 sre_parse.py:247(get)
    11/10    0.003    0.000    0.003    0.000 {built-in method _imp.create_builtin}
     3668    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     1610    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:374(_verbose_message)
        1    0.000    0.000    0.003    0.003 ImageFont.py:28(<module>)
      168    0.003    0.000    0.003    0.000 function_base.py:140(flip)
      137    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:834(path_stats)
       11    0.001    0.000    0.003    0.000 abc.py:132(__new__)
       26    0.000    0.000    0.003    0.000 core.py:6369(__init__)
        1    0.000    0.000    0.003    0.003 fftpack.py:32(<module>)
        4    0.000    0.000    0.003    0.001 warnings.py:38(filterwarnings)
